案例编号,标题,事故类型,地点,状态,提交时间,优先级,复核人,天气,道路环境,描述
ACC-20260101-0044,陕西省延安市安塞区安塞区包茂高速安塞出口匝道多车连环碰撞,多车连环碰撞,陕西省延安市安塞区安塞区包茂高速安塞出口匝道,待分析,2026-01-01 18:18:55,高,,雾,省道三级公路，路面宽7米，夜间照明不足,下午1时15分许，在陕西省延安市安塞区安塞区包茂高速安塞出口匝道，因视线受阻，出租车（A车，陕J·L491CB）首先与电动自行车（B车，陕J·K62923）发生碰撞，后方公交车（C车，陕J·W155AT）等车辆避让不及，陆续发生追尾，形成多车连环碰撞事故。共涉及5辆车，造成1人轻伤。
ACC-20260102-0101,山东省济宁市曲阜市曲阜市石门山镇G104国道行人事故,行人事故,山东省济宁市曲阜市曲阜市石门山镇G104国道,处理中,2026-01-02 12:10:54,高,赵文博,小雪,学校路段，限速30km/h，有减速带,下午3时45分许，在山东省济宁市曲阜市曲阜市石门山镇G104国道，小型轿车（A车，鲁H·Y91408）行至该路段时，行人一行人突然从东横穿马路，小型轿车（A车，鲁H·Y91408）刹车不及发生碰撞。事故造成行人受伤倒地，车辆前保险杠受损。
ACC-20260102-0081,山东省济宁市曲阜市曲阜市息陬镇孔子大道辅路隧道事故,隧道事故,山东省济宁市曲阜市曲阜市息陬镇孔子大道辅路,处理中,2026-01-02 16:10:24,低,张建国,小雨,开发区主干道，货车与轿车混行，交叉口多,上午10时许，在山东省济宁市曲阜市曲阜市息陬镇孔子大道辅路，货车（A车，鲁H·M42027）进入隧道时因光线变化未能及时适应，追尾前方小型轿车（B车，鲁H·L58678）。事故造成两车受损。
ACC-20260102-0009,陕西省延安市安塞区安塞区真武洞镇鼓楼环岛正面碰撞,正面碰撞,陕西省延安市安塞区安塞区真武洞镇鼓楼环岛,处理中,2026-01-02 16:16:22,中,张建国,晴,农村四级公路，路面宽5米，无标线,清晨6时40分许，在陕西省延安市安塞区安塞区真武洞镇鼓楼环岛，小型轿车（A车，陕J·X891PJ）因违法变道驶入对向车道，与迎面驶来的摩托车（B车，陕J·L896RY）发生正面碰撞。事故造成两车车头严重损毁，驾驶员受轻伤已送医。
ACC-20260104-0095,山东省济宁市曲阜市曲阜市327国道与104国道交汇处超速失控,超速失控,山东省济宁市曲阜市曲阜市327国道与104国道交汇处,已完成,2026-01-04 13:55:10,中,张建国,小雨,高铁站前道路，交通流量大，有公交专用道,上午7时50分许，在山东省济宁市曲阜市曲阜市327国道与104国道交汇处，电动自行车（A车，鲁H·P918DE）超速行驶至弯道路段时，车辆失控侧滑，与路边停放的车辆发生碰撞。事故造成车辆严重受损。
ACC-20260106-0006,陕西省延安市安塞区安塞区砖窑湾镇S303省道匝道事故,匝道事故,陕西省延安市安塞区安塞区砖窑湾镇S303省道,处理中,2026-01-06 14:45:32,中,王守义,小雪,农村四级公路，路面宽5米，无标线,上午7时50分许，在陕西省延安市安塞区安塞区砖窑湾镇S303省道，公交车（A车，陕J·A372FG）驶出匝道时速度过快，与匝道口的防护栏发生碰撞。事故造成车辆受损。
ACC-20260107-0053,陕西省延安市安塞区安塞区招安镇街道十字路口桥梁事故,桥梁事故,陕西省延安市安塞区安塞区招安镇街道十字路口,待处理,2026-01-07 12:34:42,低,,雾,国道二级公路，双向两车道，路面有轻微坑槽,下午1时15分许，在陕西省延安市安塞区安塞区招安镇街道十字路口，路面因天气原因湿滑，货车（A车，陕J·B77775）行驶至桥梁路段时车辆打滑，与桥面护栏发生碰撞。
ACC-20260108-0031,陕西省延安市安塞区安塞区高桥镇农贸市场路段桥梁事故,桥梁事故,陕西省延安市安塞区安塞区高桥镇农贸市场路段,处理中,2026-01-08 07:27:50,中,王守义,中雨,国道二级公路，双向两车道，路面有轻微坑槽,下午3时45分许，在陕西省延安市安塞区安塞区高桥镇农贸市场路段，路面因天气原因湿滑，小型轿车（A车，陕J·S599ZF）行驶至桥梁路段时车辆打滑，与桥面护栏发生碰撞。
ACC-20260108-0007,陕西省延安市安塞区安塞区招安镇河滨路路口剐蹭,路口剐蹭,陕西省延安市安塞区安塞区招安镇河滨路,待分析,2026-01-08 08:35:05,中,,中雨,城区十字路口，有交通信号灯，人车混行,上午9时15分许，在陕西省延安市安塞区安塞区招安镇河滨路，面包车（A车，陕J·Z329MH）与SUV（B车，陕J·L162NQ）在通过路口时，因视线受阻发生侧面剐蹭。双方车辆车身受损，无人员伤亡。
ACC-20260108-0079,山东省济宁市曲阜市曲阜市尼山镇圣源大道变道碰撞,变道碰撞,山东省济宁市曲阜市曲阜市尼山镇圣源大道,处理中,2026-01-08 21:42:56,中,李明辉,多云,城市主干道，双向四车道，沥青路面，限速50km/h,夜间22时许，在山东省济宁市曲阜市曲阜市尼山镇圣源大道，货车（A车，鲁H·W22356）由西向北变道时，未观察后方来车，与正常行驶的货车（B车，鲁H·L188DQ）发生侧面碰撞。事故造成后保险杠破裂。
