规则ID,规则名称,事故类型,适用场景,状态
R-001,未打转向灯,变道事故,车道变更,启用
R-002,违法超车,碰撞事故,双向车道,启用
R-003,未打转向灯,变道事故,车道变更,启用
R-004,后车未保持安全距离,追尾事故,同向行驶,启用
R-005,占用应急车道,一般事故,高速公路,启用
R-006,开门未观察后方,刮擦事故,路边停车,启用
R-007,违规停车,刮擦事故,路边停车区域,启用
R-008,未礼让行人,行人事故,人行横道,启用
R-009,违规停车,刮擦事故,路边停车区域,启用
R-010,违法超车,碰撞事故,双向车道,启用
R-011,违规停车,刮擦事故,路边停车区域,启用
R-012,开门未观察后方,刮擦事故,路边停车,启用
R-013,违规停车,刮擦事故,路边停车区域,启用
R-014,未礼让行人,行人事故,人行横道,启用
R-015,未打转向灯,变道事故,车道变更,启用
R-016,后车未保持安全距离,追尾事故,同向行驶,启用
R-017,违规停车,刮擦事故,路边停车区域,启用
R-018,未按规定让行,路口事故,无信号灯路口,启用
R-019,压实线变道,变道事故,道路实线区域,启用
R-020,逆行,一般事故,单行道,启用
R-021,违规停车,刮擦事故,路边停车区域,启用
R-022,变道未让行,变道事故,变道过程,启用
R-023,开门未观察后方,刮擦事故,路边停车,启用
R-024,超速行驶,一般事故,城市快速路,启用
R-025,酒后驾驶,重大事故,夜间道路,启用
R-026,违法超车,碰撞事故,双向车道,启用
R-027,压实线变道,变道事故,道路实线区域,启用
R-028,机动车占用非机动车道,一般事故,城市道路,启用
R-029,压实线变道,变道事故,道路实线区域,启用
R-030,变道未让行,变道事故,变道过程,启用
R-031,未按导向车道行驶,路口事故,多车道路口,启用
R-032,开门未观察后方,刮擦事故,路边停车,启用
R-033,违规停车,刮擦事故,路边停车区域,启用
R-034,非机动车逆行,非机动车事故,非机动车道,启用
R-035,违法超车,碰撞事故,双向车道,启用
R-036,后车未保持安全距离,追尾事故,同向行驶,启用
R-037,酒后驾驶,重大事故,夜间道路,启用
R-038,未打转向灯,变道事故,车道变更,启用
R-039,未打转向灯,变道事故,车道变更,启用
R-040,疲劳驾驶,一般事故,长时间驾驶,启用
R-041,疲劳驾驶,一般事故,长时间驾驶,启用
R-042,未按导向车道行驶,路口事故,多车道路口,启用
R-043,疲劳驾驶,一般事故,长时间驾驶,启用
